GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jacoco-multi scala/jacoco-multi-scala,default,ErrorHandler,148,22,10,0,18,12,11,2,6,2
jacoco-multi scala/jacoco-multi-scala,default,ErrorHandler.,12,0,0,0,3,0,4,0,4,0
jacoco-multi scala/jacoco-multi-scala,default,RequestHandler,22,76,5,5,4,20,5,4,0,4
jacoco-multi scala/jacoco-multi-scala,default,ErrorHandler..anonfun..lessinit.greater.new Serializable() {...},7,6,0,0,0,2,1,1,1,1
jacoco-multi scala/jacoco-multi-scala,default,Module,30,60,0,0,0,3,7,4,7,4
jacoco-multi scala/jacoco-multi-scala,default,Module..typecreator1.new TypeCreator() {...},0,14,0,0,0,1,0,2,0,2
jacoco-multi scala/jacoco-multi-scala,default,Module..typecreator2.new TypeCreator() {...},0,14,0,0,0,1,0,2,0,2
jacoco-multi scala/jacoco-multi-scala,router,Routes,20,77,2,2,4,13,3,6,1,6
jacoco-multi scala/jacoco-multi-scala,router,Routes..anonfun.routes.new Serializable() {...},28,28,4,2,0,2,4,2,1,2
jacoco-multi scala/jacoco-multi-scala,router,RoutesPrefix,10,0,0,0,0,0,3,0,3,0
jacoco-multi scala/jacoco-multi-scala,router,RoutesPrefix.,9,22,0,0,1,5,3,4,3,4
jacoco-multi scala/jacoco-multi-scala,v1.post,PostRequest,32,9,4,0,0,2,5,1,3,1
jacoco-multi scala/jacoco-multi-scala,v1.post,PostRouter,18,45,0,0,0,5,5,5,5,5
jacoco-multi scala/jacoco-multi-scala,v1.post,PostId,42,0,0,0,2,0,9,0,9,0
jacoco-multi scala/jacoco-multi-scala,v1.post,PostResource,165,29,39,0,0,1,37,5,16,5
jacoco-multi scala/jacoco-multi-scala,v1.post,PostController,53,44,0,0,6,11,6,3,6,3
jacoco-multi scala/jacoco-multi-scala,v1.post,RequestMarkerContext,0,51,0,0,0,6,0,4,0,4
jacoco-multi scala/jacoco-multi-scala,v1.post,PostControllerComponents.,51,0,2,0,1,0,7,0,6,0
jacoco-multi scala/jacoco-multi-scala,v1.post,PostFormInput.,33,0,2,0,1,0,7,0,6,0
jacoco-multi scala/jacoco-multi-scala,v1.post,PostData,136,23,26,0,0,1,30,4,16,4
jacoco-multi scala/jacoco-multi-scala,v1.post,PostFormInput,141,0,25,0,1,0,31,0,18,0
jacoco-multi scala/jacoco-multi-scala,v1.post,PostRouter..anonfun.routes.new Serializable() {...},278,61,45,5,4,3,26,2,1,2
jacoco-multi scala/jacoco-multi-scala,v1.post,PostResourceHandler,38,41,0,0,4,6,2,3,2,3
jacoco-multi scala/jacoco-multi-scala,v1.post,PostRepositoryImpl,18,84,0,0,2,10,2,4,2,4
jacoco-multi scala/jacoco-multi-scala,v1.post,RequestMarkerContext.RichLogstashMarker,2,16,1,1,0,3,1,2,0,2
jacoco-multi scala/jacoco-multi-scala,v1.post,PostId.,34,21,9,1,1,5,7,4,2,4
jacoco-multi scala/jacoco-multi-scala,v1.post,PostData.,39,0,2,0,1,0,7,0,6,0
jacoco-multi scala/jacoco-multi-scala,v1.post,PostControllerComponents,274,35,67,0,0,10,64,3,27,3
jacoco-multi scala/jacoco-multi-scala,v1.post,PostExecutionContext,0,5,0,0,0,2,0,1,0,1
jacoco-multi scala/jacoco-multi-scala,v1.post,PostResource.,12,122,1,1,0,4,3,4,2,4
jacoco-multi scala/jacoco-multi-scala,v1.post,PostBaseController,739,774,16,0,1,4,220,187,212,187
jacoco-multi scala/jacoco-multi-scala,v1.post,PostActionBuilder,46,115,0,0,0,10,13,18,13,18
